,url,text,stand,zuständig,geschäftsart,status
1024,/gast/geschaefte/267,"Postulat von Kurt Balmer, Anna Bieri und Karin Andenmatten betreffend Halt der Interregio-Züge in Rotkreuz",Datenmigration,,Postulat,abgeschlossen
1025,/gast/geschaefte/266,Motion der SVP-Fraktion betreffend Einrichtung einer elektronischen Abstimmungsanlage im Kantonsrat,Erledigterklärung,Staatskanzlei,Motion,abgeschlossen
1026,/gast/geschaefte/265,"Interpellation von Urs Raschle betreffend Nutzung ""neuer Medien""",Datenmigration,,Interpellation,abgeschlossen
1027,/gast/geschaefte/264,Interpellation der CVP-Fraktion betreffend Funktionsweise und Erfolge der Metropolitankonferenz Zürich,Datenmigration,,Interpellation,abgeschlossen
1028,/gast/geschaefte/263,Interpellation der CVP-Fraktion betreffend Zukunft der Greater Zurich Area (GZA),Datenmigration,,Interpellation,abgeschlossen
1029,/gast/geschaefte/262,Kantonsratsbeschluss betreffend Beteiligung des Kantons an Innovationsförderungsmassnahmen,Datenmigration,,Kantonsratsbeschluss (nicht referendumsfähig),abgeschlossen
1030,/gast/geschaefte/261,"Motion von Manuel Brandenberg, Philip C. Brunner, Daniel Burch und Thomas Wyss betreffend Änderung der Geschäftsordnung des Regierungsrates (BGS 151.1)",Datenmigration,,Motion,abgeschlossen
1031,/gast/geschaefte/260,Kantonsratsbeschluss betreffend Investitionsbeitrag für Sicherheitseinrichtungen in der Eissporthalle Herti (Bossard-Arena) Zug,Datenmigration,,Kantonsratsbeschluss (nicht referendumsfähig),abgeschlossen
1032,/gast/geschaefte/259,Wahlbestätigung der vom Kanton zu wählenden Mitglieder des Bankrates und der Revisionsstelle der Zuger Kantonalbank für die Amtsdauer 2011 - 2014 (bis Generalversammlung 2015),Datenmigration,,Wahlen,abgeschlossen
1033,/gast/geschaefte/258,Kantonsrats-Ersatzwahl in der Gemeinde Baar,Datenmigration,,Wahlen,abgeschlossen
1034,/gast/geschaefte/257,Änderung des Steuergesetzes - viertes Revisionspaket,Datenmigration,,Gesetz,abgeschlossen
1035,/gast/geschaefte/256,Postulat von Rudolf Balsiger und Moritz Schmid betreffend Kantonsforstamt in die Baudirektion,Datenmigration,,Postulat,abgeschlossen
1036,/gast/geschaefte/255,Gesetzesinitiative betreffend Wiedereinführung von Noten ab der 2. Klasse und Verfassungsinitiative für das Notenobligatorium und gegen Schulexperimente ohne Noten,Datenmigration,,Initiative: Gesetzesinitiative,abgeschlossen
1037,/gast/geschaefte/254,"Motion von Christina Huber Keiser, Erwina Winiger, Monika Barmet, Eusebius Spescha, Andreas Hürlimann und Arthur Walker betreffend Schaffung einer gesetzlichen Grundlage zur Umsetzung der Chancengleichheit von Frau und Mann im Kanton Zug",Datenmigration,,Motion,abgeschlossen
